about	Thing 	"The subject matter of the content.
Inverse property: subjectOf."
accessMode	Text 	The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Expected values include: auditory, tactile, textual, visual, colorDependent, chartOnVisual, chemOnVisual, diagramOnVisual, mathOnVisual, musicOnVisual, textOnVisual.
accessModeSufficient	Text 	A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Expected values include: auditory, tactile, textual, visual.
accessibilityAPI	Text 	Indicates that the resource is compatible with the referenced accessibility API (WebSchemas wiki lists possible values).
accessibilityControl	Text 	Identifies input methods that are sufficient to fully control the described resource (WebSchemas wiki lists possible values).
accessibilityFeature	Text 	Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility (WebSchemas wiki lists possible values).
accessibilityHazard	Text 	A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3 (WebSchemas wiki lists possible values).
accessibilitySummary	Text 	"A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed."""
accountablePerson	Person 	Specifies the Person that is legally accountable for the CreativeWork.
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
alternativeHeadline	Text 	A secondary title of the CreativeWork.
associatedMedia	MediaObject 	A media object that encodes this CreativeWork. This property is a synonym for encoding.
audience	Audience 	An intended audience, i.e. a group for whom something was created. Supersedes serviceAudience.
audio	AudioObject 	An embedded audio object.
author	"Organization  or 
Person "	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
award	Text 	An award won by or for this item. Supersedes awards.
character	Person 	Fictional person connected with a creative work.
citation	"CreativeWork  or 
Text "	A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.
comment	Comment 	Comments, typically from users.
commentCount	Integer 	The number of comments this CreativeWork (e.g. Article, Question or Answer) has received. This is most applicable to works published in Web sites with commenting system; additional comments may exist elsewhere.
contentLocation	Place 	The location depicted or described in the content. For example, the location in a photograph or painting.
contentRating	Text 	Official rating of a piece of content—for example,'MPAA PG-13'.
contentReferenceTime	DateTime 	The specific time described by a creative work, for works (e.g. articles, video objects etc.) that emphasise a particular moment within an Event.
contributor	"Organization  or 
Person "	A secondary contributor to the CreativeWork or Event.
copyrightHolder	"Organization  or 
Person "	The party holding the legal copyright to the CreativeWork.
copyrightYear	Number 	The year during which the claimed copyright for the CreativeWork was first asserted.
creator	"Organization  or 
Person "	The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
dateCreated	"Date  or 
DateTime "	The date on which the CreativeWork was created or the item was added to a DataFeed.
dateModified	"Date  or 
DateTime "	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.
datePublished	Date 	Date of first broadcast/publication.
discussionUrl	URL 	A link to the page containing the comments of the CreativeWork.
editor	Person 	Specifies the Person who edited the CreativeWork.
educationalAlignment	AlignmentObject 	An alignment to an established educational framework.
educationalUse	Text 	The purpose of a work in the context of education; for example, 'assignment', 'group work'.
encoding	MediaObject 	A media object that encodes this CreativeWork. This property is a synonym for associatedMedia. Supersedes encodings.
exampleOfWork	CreativeWork 	"A creative work that this work is an example/instance/realization/derivation of.
Inverse property: workExample."
expires	Date 	Date the content expires and is no longer useful or available. For example a VideoObject or NewsArticle whose availability or relevance is time-limited, or a ClaimReview fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date.
fileFormat	"Text  or 
URL "	Media type, typically MIME format (see IANA site) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.
funder	"Organization  or 
Person "	A person or organization that supports (sponsors) something through some kind of financial contribution.
genre	"Text  or 
URL "	Genre of the creative work, broadcast channel or group.
hasPart	CreativeWork 	"Indicates a CreativeWork that is (in some sense) a part of this CreativeWork.
Inverse property: isPartOf."
headline	Text 	Headline of the article.
inLanguage	"Language  or 
Text "	The language of the content or performance or used in an action. Please use one of the language codes from the IETF BCP 47 standard. See also availableLanguage. Supersedes language.
interactionStatistic	InteractionCounter 	The number of interactions for the CreativeWork using the WebSite or SoftwareApplication. The most specific child type of InteractionCounter should be used. Supersedes interactionCount.
interactivityType	Text 	The predominant mode of learning supported by the learning resource. Acceptable values are 'active', 'expositive', or 'mixed'.
isAccessibleForFree	Boolean 	A flag to signal that the item, event, or place is accessible for free. Supersedes free.
isBasedOn	"CreativeWork  or 
Product  or 
URL "	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html. Supersedes isBasedOnUrl.
isFamilyFriendly	Boolean 	Indicates whether this content is family friendly.
isPartOf	CreativeWork 	"Indicates a CreativeWork that this CreativeWork is (in some sense) part of.
Inverse property: hasPart."
keywords	Text 	Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.
learningResourceType	Text 	The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'.
license	"CreativeWork  or 
URL "	A license document that applies to this content, typically indicated by URL.
locationCreated	Place 	The location where the CreativeWork was created, which may not be the same as the location depicted in the CreativeWork.
mainEntity	Thing 	"Indicates the primary entity described in some page or other CreativeWork.
Inverse property: mainEntityOfPage."
material	"Product  or 
Text  or 
URL "	A material that something is made from, e.g. leather, wool, cotton, paper.
mentions	Thing 	Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.
offers	Offer 	An offer to provide this item—for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.
position	"Integer  or 
Text "	The position of an item in a series or sequence of items.
producer	"Organization  or 
Person "	The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).
provider	"Organization  or 
Person "	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller. Supersedes carrier.
publication	PublicationEvent 	A publication event associated with the item.
publisher	"Organization  or 
Person "	The publisher of the creative work.
publisherImprint	Organization 	The publishing division which published the comic.
publishingPrinciples	"CreativeWork  or 
URL "	"The publishingPrinciples property indicates (typically via URL) a document describing the editorial principles of an Organization (or individual e.g. a Person writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a CreativeWork (e.g. NewsArticle) the principles are those of the party primarily responsible for the creation of the CreativeWork.
While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a funder) can be expressed using schema.org terminology."
recordedAt	Event 	"The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.
Inverse property: recordedIn."
releasedEvent	PublicationEvent 	The place and time the release was issued, expressed as a PublicationEvent.
review	Review 	A review of the item. Supersedes reviews.
schemaVersion	"Text  or 
URL "	Indicates (by URL or string) a particular version of a schema used in some CreativeWork. For example, a document could declare a schemaVersion using an URL such as http://schema.org/version/2.0/ if precise indication of schema version was required by some application.
sourceOrganization	Organization 	The Organization on whose behalf the creator was working.
spatialCoverage	Place 	The spatialCoverage of a CreativeWork indicates the place(s) which are the focus of the content. It is a subproperty of contentLocation intended primarily for more technical and detailed materials. For example with a Dataset, it indicates areas that the dataset describes: a dataset of New York weather would have spatialCoverage which was the place: the state of New York. Supersedes spatial.
sponsor	"Organization  or 
Person "	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
temporalCoverage	"DateTime  or 
Text  or 
URL "	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in ISO 8601 time interval format. In the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL. Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945"". Supersedes datasetTimeInterval, temporal."
text	Text 	The textual content of this CreativeWork.
thumbnailUrl	URL 	A thumbnail image relevant to the Thing.
timeRequired	Duration 	Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'P30M', 'P1H25M'.
translationOfWork	CreativeWork 	"The work that this work has been translated from. e.g. 物种起源 is a translationOf “On the Origin of Species”
Inverse property: workTranslation."
translator	"Organization  or 
Person "	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.
typicalAgeRange	Text 	The typical expected age range, e.g. '7-9', '11-'.
version	"Number  or 
Text "	The version of the CreativeWork embodied by a specified resource.
video	VideoObject 	An embedded video object.
workExample	CreativeWork 	"Example/instance/realization/derivation of the concept of this creative work. eg. The paperback edition, first edition, or eBook.
Inverse property: exampleOfWork."
workTranslation	CreativeWork 	"A work that is a translation of the content of this work. e.g. 西遊記 has an English workTranslation “Journey to the West”,a German workTranslation “Monkeys Pilgerfahrt” and a Vietnamese translation Tây du ký bình khảo.
Inverse property: translationOfWork."
additionalType	URL 	An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.
alternateName	Text 	An alias for the item.
description	Text 	A description of the item.
disambiguatingDescription	Text 	A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.
identifier	"PropertyValue  or 
Text  or 
URL "	The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.
image	"ImageObject  or 
URL "	An image of the item. This can be a URL or a fully described ImageObject.
mainEntityOfPage	"CreativeWork  or 
URL "	"Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notesfor details.
Inverse property: mainEntity."
name	Text 	The name of the item.
potentialAction	Action 	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.
sameAs	URL 	URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.
subjectOf	"CreativeWork  or 
Event "	"A CreativeWork or Event about this Thing..
Inverse property: about."
url	URL 	URL of the item.
caption	Text 	The caption for this object.
exifData	"PropertyValue  or 
Text "	exif data for this object.
representativeOfPage	Boolean 	Indicates whether this image is representative of the content of the page.
thumbnail	ImageObject 	Thumbnail image for an image or video.
about	Thing 	"The subject matter of the content.
Inverse property: subjectOf."
actor	Person 	An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip. Supersedes actors.
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
attendee	"Organization  or 
Person "	A person or organization attending the event. Supersedes attendees.
audience	Audience 	An intended audience, i.e. a group for whom something was created. Supersedes serviceAudience.
composer	"Organization  or 
Person "	The person or organization who wrote a composition, or who is the composer of a work performed at some event.
contributor	"Organization  or 
Person "	A secondary contributor to the CreativeWork or Event.
director	Person 	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip. Supersedes directors.
doorTime	DateTime 	The time admission will commence.
duration	Duration 	The duration of the item (movie, audio recording, event, etc.) in ISO 8601 date format.
endDate	"Date  or 
DateTime "	The end date and time of the item (in ISO 8601 date format).
eventStatus	EventStatusType 	An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.
funder	"Organization  or 
Person "	A person or organization that supports (sponsors) something through some kind of financial contribution.
inLanguage	"Language  or 
Text "	The language of the content or performance or used in an action. Please use one of the language codes from the IETF BCP 47 standard. See also availableLanguage. Supersedes language.
isAccessibleForFree	Boolean 	A flag to signal that the item, event, or place is accessible for free. Supersedes free.
location	"Place  or 
PostalAddress  or 
Text "	The location of for example where the event is happening, an organization is located, or where an action takes place.
maximumAttendeeCapacity	Integer 	The total number of individuals that may attend an event or venue.
offers	Offer 	An offer to provide this item—for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.
organizer	"Organization  or 
Person "	An organizer of an Event.
performer	"Organization  or 
Person "	A performer at the event—for example, a presenter, musician, musical group or actor. Supersedes performers.
previousStartDate	Date 	Used in conjunction with eventStatus for rescheduled or cancelled events. This property contains the previously scheduled start date. For rescheduled events, the startDate property should be used for the newly scheduled start date. In the (rare) case of an event that has been postponed and rescheduled multiple times, this field may be repeated.
recordedIn	CreativeWork 	"The CreativeWork that captured all or part of this Event.
Inverse property: recordedAt."
remainingAttendeeCapacity	Integer 	The number of attendee places for an event that remain unallocated.
review	Review 	A review of the item. Supersedes reviews.
sponsor	"Organization  or 
Person "	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
startDate	"Date  or 
DateTime "	The start date and time of the item (in ISO 8601 date format).
subEvent	Event 	"An Event that is part of this event. For example, a conference event includes many presentations, each of which is a subEvent of the conference. Supersedes subEvents.
Inverse property: superEvent."
superEvent	Event 	"An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.
Inverse property: subEvent."
translator	"Organization  or 
Person "	Organization or person who adapts a creative work to different languages, regional differences and technical requirements of a target market, or that translates during some event.
typicalAgeRange	Text 	The typical expected age range, e.g. '7-9', '11-'.
workFeatured	CreativeWork 	A work featured in some event, e.g. exhibited in an ExhibitionEvent. Specific subproperties are available for workPerformed (e.g. a play), or a workPresented (a Movie at a ScreeningEvent).
workPerformed	CreativeWork 	A work performed in some event, for example a play performed in a TheaterEvent.
additionalType	URL 	An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.
alternateName	Text 	An alias for the item.
description	Text 	A description of the item.
disambiguatingDescription	Text 	A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation.
identifier	"PropertyValue  or 
Text  or 
URL "	The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.
image	"ImageObject  or 
URL "	An image of the item. This can be a URL or a fully described ImageObject.
mainEntityOfPage	"CreativeWork  or 
URL "	"Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notesfor details.
Inverse property: mainEntity."
name	Text 	The name of the item.
potentialAction	Action 	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.
sameAs	URL 	URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.
subjectOf	"CreativeWork  or 
Event "	"A CreativeWork or Event about this Thing..
Inverse property: about."
url	URL 	URL of the item.
actionableFeedbackPolicy	"CreativeWork  or 
URL "	For a NewsMediaOrganization or other news-related Organization, a statement about public engagement activities (for news media, the newsroom’s), including involving the public - digitally or otherwise -- in coverage decisions, reporting and activities after publication.
address	"PostalAddress  or 
Text "	Physical address of the item.
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
alumni	Person 	"Alumni of an organization.
Inverse property: alumniOf."
areaServed	"AdministrativeArea  or 
GeoShape  or 
Place  or 
Text "	The geographic area where a service or offered item is provided. Supersedes serviceArea.
award	Text 	An award won by or for this item. Supersedes awards.
brand	"Brand  or 
Organization "	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
contactPoint	ContactPoint 	A contact point for a person or organization. Supersedes contactPoints.
correctionsPolicy	"CreativeWork  or 
URL "	For an Organization (e.g. NewsMediaOrganization), a statement describing (in news media, the newsroom’s) disclosure and correction policy for errors.
department	Organization 	A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.
dissolutionDate	Date 	The date that this organization was dissolved.
diversityPolicy	"CreativeWork  or 
URL "	Statement on diversity policy by an Organization e.g. a NewsMediaOrganization. For a NewsMediaOrganization, a statement describing the newsroom’s diversity policy on both staffing and sources, typically providing staffing data.
duns	Text 	The Dun & Bradstreet DUNS number for identifying an organization or business person.
email	Text 	Email address.
employee	Person 	Someone working for this organization. Supersedes employees.
ethicsPolicy	"CreativeWork  or 
URL "	Statement about ethics policy, e.g. of a NewsMediaOrganization regarding journalistic and publishing practices, or of a Restaurant, a page describing food source policies. In the case of a NewsMediaOrganization, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization.
event	Event 	Upcoming or past event associated with this place, organization, or action. Supersedes events.
faxNumber	Text 	The fax number.
founder	Person 	A person who founded this organization. Supersedes founders.
foundingDate	Date 	The date that this organization was founded.
foundingLocation	Place 	The place where the Organization was founded.
funder	"Organization  or 
Person "	A person or organization that supports (sponsors) something through some kind of financial contribution.
globalLocationNumber	Text 	The Global Location Number (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
hasOfferCatalog	OfferCatalog 	Indicates an OfferCatalog listing for this Organization, Person, or Service.
hasPOS	Place 	Points-of-Sales operated by the organization or person.
isicV4	Text 	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
legalName	Text 	The official name of the organization, e.g. the registered company name.
leiCode	Text 	An organization identifier that uniquely identifies a legal entity as defined in ISO 17442.
location	"Place  or 
PostalAddress  or 
Text "	The location of for example where the event is happening, an organization is located, or where an action takes place.
logo	"ImageObject  or 
URL "	An associated logo.
makesOffer	Offer 	"A pointer to products or services offered by the organization or person.
Inverse property: offeredBy."
member	"Organization  or 
Person "	"A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals. Supersedes members, musicGroupMember.
Inverse property: memberOf."
memberOf	"Organization  or 
ProgramMembership "	"An Organization (or ProgramMembership) to which this Person or Organization belongs.
Inverse property: member."
naics	Text 	The North American Industry Classification System (NAICS) code for a particular organization or business person.
numberOfEmployees	QuantitativeValue 	The number of employees in an organization e.g. business.
owns	"OwnershipInfo  or 
Product "	Products owned by the organization or person.
parentOrganization	Organization 	"The larger organization that this organization is a subOrganization of, if any. Supersedes branchOf.
Inverse property: subOrganization."
publishingPrinciples	"CreativeWork  or 
URL "	"The publishingPrinciples property indicates (typically via URL) a document describing the editorial principles of an Organization (or individual e.g. a Person writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a CreativeWork (e.g. NewsArticle) the principles are those of the party primarily responsible for the creation of the CreativeWork.
While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a funder) can be expressed using schema.org terminology."
review	Review 	A review of the item. Supersedes reviews.
seeks	Demand 	A pointer to products or services sought by the organization or person (demand).
sponsor	"Organization  or 
Person "	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
subOrganization	Organization 	"A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property.
Inverse property: parentOrganization."
taxID	Text 	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
telephone	Text 	The telephone number.
unnamedSourcesPolicy	"CreativeWork  or 
URL "	For an Organization (typically a NewsMediaOrganization), a statement about policy on use of unnamed sources and the decision process required.
vatID	Text 	The Value-added Tax ID of the organization or person.
additionalName	Text 	An additional name for a Person, can be used for a middle name.
address	"PostalAddress  or 
Text "	Physical address of the item.
affiliation	Organization 	An organization that this person is affiliated with. For example, a school/university, a club, or a team.
alumniOf	"EducationalOrganization  or 
Organization "	"An organization that the person is an alumni of.
Inverse property: alumni."
award	Text 	An award won by or for this item. Supersedes awards.
birthDate	Date 	Date of birth.
birthPlace	Place 	The place where the person was born.
brand	"Brand  or 
Organization "	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
children	Person 	A child of the person.
colleague	"Person  or 
URL "	A colleague of the person. Supersedes colleagues.
contactPoint	ContactPoint 	A contact point for a person or organization. Supersedes contactPoints.
deathDate	Date 	Date of death.
deathPlace	Place 	The place where the person died.
duns	Text 	The Dun & Bradstreet DUNS number for identifying an organization or business person.
email	Text 	Email address.
familyName	Text 	Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.
faxNumber	Text 	The fax number.
follows	Person 	The most generic uni-directional social relation.
funder	"Organization  or 
Person "	A person or organization that supports (sponsors) something through some kind of financial contribution.
gender	"GenderType  or 
Text "	Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.
givenName	Text 	Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property.
globalLocationNumber	Text 	The Global Location Number (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
hasOccupation	Occupation 	The Person's occupation. For past professions, use Role for expressing dates.
hasOfferCatalog	OfferCatalog 	Indicates an OfferCatalog listing for this Organization, Person, or Service.
hasPOS	Place 	Points-of-Sales operated by the organization or person.
height	"Distance  or 
QuantitativeValue "	The height of the item.
homeLocation	"ContactPoint  or 
Place "	A contact location for a person's residence.
